twitter_uid,Gender,Friends_count,Followers_count,Avg_Tweet,Avg_Word_length,Avg_Sentence_length,Avg_Punctuation,Avg_Capitalized_Words,Avg_Slang_words,Avg_emojis,Avg_words_found,tweets,retweets,images,urls
65757522,F,350,448,4.92,4,6,151,0.22,33,112,"[u'bro', u'lmao', u'asap', u'lil', u'nah', u'smh', u'lol', u'til', u'gal', u'wtf', u'armpit']",137,260,0,0.1108
1183360344,M,508,204,0.9,6,10,151,1.31,2,25,"[u'u', u'g']",43,354,0,0.0378
191687585,F,278,260,1.41,4,7,146,1.93,9,23,"[u'lmao', u'lol', u'ur', u'r', u'u', u'idk']",112,121,0.2275,0.279
769782883,F,1728,1404,20.52,4,7,142,5.9,16,83,"[u'dope', u'lol', u'bro', u'u', u'idk', u'smh', u'wanna']",121,312,0.0624,0.1617
65790301,F,95,149,5.11,3,10,140,0.75,17,47,"[u'uber', u'omg', u'lmao', u'fav', u'lol', u'ppl', u'bro', u'bae', u'idk']",156,284,0.0182,0.0614
1367101226,F,681,679,6.87,5,6,140,0.32,9,68,"[u'bf', u'scrub', u'lmao', u'congrats', u'lol', u'idk', u'wanna']",96,302,0.0226,0.0729
3895635995,M,87,46,0.92,4,12,140,3.16,2,14,"[u'bae', u'omg']",52,198,0.012,0.08
1311403220,F,420,938,10.62,4,8,138,1.82,25,31,"[u'bf', u'lmao', u'lil', u'fav', u'lol', u'ur', u'r', u'u', u'idk', u'smh', u'nvm', u'cutie', u'wanna', u'ily']",101,410,0.0059,0.0744
7.26E+17,M,42,30,0.01,5,9,137,0,1,2,[u'u'],17,1,0.1111,0.3333
280805057,M,1095,749,4.44,3,7,136,0.31,24,108,"[u'ima', u'bf', u'lmao', u'nah', u'lol', u'ppl', u'bro', u'idk', u'wtf', u'wanna', u'dope']",123,289,0,0.1019
255387754,M,599,696,7.36,3,4,135,1.93,47,165,"[u'bro', u'x', u'luv', u'dope', u'lol', u'hml', u'goofy', u'u', u'idk', u'wtf', u'smh', u'omw', u'r', u'wanna']",261,175,0.0206,0.3005
2523829678,F,447,412,2.87,5,6,131,2.43,4,10,"[u'fyi', u'bestie', u'lol', u'congrats']",87,313,0.0725,0.21
1798825874,F,372,458,2.6,4,4,126,6.4,6,28,"[u'u', u'lmao', u'ur']",80,167,0.0202,0.2389
8.00E+17,F,747,318,1.77,4,10,122,0.7,11,122,"[u'ima', u'ugh', u'lmao', u'nah', u'til', u'gf', u'smh', u'wanna']",112,102,0.0467,0.1121
91632039,F,407,564,2.39,4,10,119,12.66,14,10,"[u'ugh', u'omg', u'lmao', u'ngl', u'ur', u'u', u'wanna']",52,347,0,0.0175
1287180175,M,472,682,16.69,4,9,110,0,1,63,[u'cul'],89,308,0,0.0453
255688564,M,2906,1637,2.74,5,18,108,11.51,0,0,[],39,361,0.0025,0.03
534743394,M,569,60,0.16,7,11,107,1.21,0,11,[],21,388,0.0098,0.0196
2405086729,F,1524,173,0.74,5,10,101,0.91,0,0,[],32,325,0.0252,0.0868
350993275,F,638,1069,7.46,4,7,95,10.34,6,10,"[u'omg', u'ugh', u'wanna', u'pls', u'smh']",62,132,0.067,0.134
1710540721,M,1183,1263,9.01,4,8,92,0.84,5,38,"[u'til', u'app', u'vs', u'g']",68,331,0.0201,0.0576
102844990,F,308,633,10.1,4,8,89,14.73,7,27,"[u'fav', u'nah', u'omg']",38,390,0,0.0257
1360245018,F,152,190,1.14,4,7,85,1.17,1,53,[u'wanna'],45,393,0.032,0.0639
2978343963,M,4933,4088,4.46,5,8,78,10.14,6,13,"[u'bday', u'omg', u'u', u'lol']",35,392,0.0234,0.0445
114622880,F,518,2269,61.42,5,4,75,25.96,1,18,[u'nah'],96,103,0.1106,0.3266
946907978,F,380,555,21.71,4,5,62,2.13,10,41,"[u'lmao', u'ppl', u'bro', u'r', u'u', u'wanna']",56,340,0.0152,0.0732
1628609808,F,1265,274,1.1,4,9,60,1.66,4,93,"[u'ima', u'omg', u'fav']",49,368,0.0144,0.0695
4336465760,F,482,293,15.08,4,8,44,0.44,2,16,"[u'gf', u'pls']",26,360,0.0078,0.0181
36165991,F,488,369,6.6,3,7,38,0.24,14,1,"[u'lmao', u'luv', u'app', u'hw', u'ur', u'gf', u'u']",52,344,0.0101,0.0581
2188040201,F,824,220,1.85,5,3,35,0,5,53,"[u'kinda', u'luv', u'thx']",22,378,0.0025,0.0475
3006183257,F,36,7,0,6,3,26,9.52,0,0,[],6,2,0.375,0.5
28848909,M,1182,936,23.13,3,3,5,6.25,0,0,[],5,517,0.0019,0.0096
