ADMIRATION	AGRE	ANXIETY	AVOIDANCE	CONS	EXTR	NARCISSISM	NEUR	OPEN	RIVALRY	twitter_uid
0.667	4.75	1.389	1.778	4.25	3.75	1.333	1.5	4.5	2.0	47715774
1.667	3.0	3.167	4.556	3.5	1.5	2.167	2.0	3.25	2.667	36048393
0.0	3.0	3.167	4.611	4.25	2.25	0.0	2.0	5.0	0.0	2859899237
0.0	4.5	5.444	5.111	1.75	1.0	0.0	3.25	4.25	0.0	104081761
4.0	2.75	4.222	4.444	3.25	3.5	4.0	2.5	3.0	4.0	704497851561287680
2.0	3.75	2.556	3.333	3.75	3.0	1.667	2.0	4.5	1.333	197873985
0.0	3.25	1.444	3.889	4.25	3.25	0.333	1.25	3.25	0.667	4666852345
0.0	3.0	5.222	5.889	4.25	1.0	0.333	4.0	4.5	0.667	908062224983511040
0.0	4.25	1.333	3.278	4.75	2.0	0.0	1.5	4.75	0.0	830155646087467008
3.0	4.75	1.222	1.333	4.25	4.25	2.0	1.0	4.0	1.0	76256868
0.0	3.75	1.778	5.0	4.75	1.0	0.0	2.5	4.5	0.0	93719000
0.0	4.75	1.0	2.444	5.0	2.0	0.0	1.0	3.0	0.0	22555372
2.0	3.5	3.944	3.444	2.5	2.5	1.0	3.25	4.0	0.0	383222663
3.667	4.75	1.278	2.0	4.5	2.5	2.333	1.0	5.0	1.0	2207638830
2.333	3.75	3.722	3.667	3.25	1.5	1.5	3.0	4.25	0.667	254063688
0.0	5.0	4.778	5.278	4.0	1.0	0.0	2.75	4.75	0.0	46130085
0.667	2.25	2.278	5.5	4.5	1.5	0.833	1.5	4.0	1.0	623974346
3.333	2.75	4.389	3.889	3.5	2.5	3.333	3.5	4.25	3.333	84358961
3.333	2.5	2.111	5.111	5.0	1.75	2.333	1.0	4.5	1.333	3221570341
0.0	5.0	3.333	1.556	2.25	2.25	0.0	1.5	5.0	0.0	16597191
3.0	5.0	6.556	1.944	3.25	3.0	2.5	4.5	5.0	2.0	53786257
2.667	2.75	4.0	5.944	4.25	1.25	2.833	2.5	4.5	3.0	177893290
2.333	2.75	6.833	4.389	4.5	3.5	1.167	3.0	2.5	0.0	366256326
1.333	4.75	6.389	3.667	2.75	1.0	1.333	3.75	5.0	1.333	341264760
3.333	5.0	6.0	5.167	4.25	2.5	3.167	4.25	5.0	3.0	1079960349204463616
4.0	4.75	1.667	4.556	2.75	2.5	2.333	2.0	4.5	0.667	14561884
0.0	4.25	1.889	2.833	4.0	3.75	0.0	1.5	4.75	0.0	19035205
2.0	5.0	1.778	2.778	4.25	3.5	3.0	1.25	5.0	4.0	956423246
3.333	3.25	1.389	5.167	4.25	4.0	2.333	1.25	5.0	1.333	2419509762
2.667	4.0	5.0	5.056	3.75	1.75	3.0	3.5	4.25	3.333	151540402
0.0	4.75	5.056	6.0	2.75	1.5	0.0	2.5	5.0	0.0	164016224
3.667	4.0	4.611	4.611	2.25	2.75	3.0	4.25	4.0	2.333	788179645
4.0	2.0	6.167	4.0	2.5	1.75	3.5	5.0	3.25	3.0	1044970742721466368
3.333	4.0	1.167	2.778	4.0	4.0	2.0	1.25	5.0	0.667	278711747
2.333	4.5	1.278	2.111	5.0	3.0	1.167	1.75	5.0	0.0	15520460
1.667	3.25	1.778	5.667	4.25	1.75	0.833	2.0	3.5	0.0	34448943
0.0	2.0	1.722	4.833	3.75	1.5	0.333	1.0	4.25	0.667	1047652530342305793
3.667	3.5	2.444	3.5	4.0	2.5	4.0	2.5	4.0	4.333	1916942892
4.0	3.75	2.111	2.833	4.25	2.75	4.0	2.0	5.0	4.0	16625748
1.0	3.5	2.444	4.778	4.25	2.25	0.5	2.0	2.5	0.0	29591445
3.667	4.0	2.389	3.333	4.75	4.0	3.333	1.0	5.0	3.0	340328183
2.667	4.25	2.278	2.722	5.0	3.5	2.5	2.25	4.0	2.333	70848869
4.333	4.5	2.889	2.333	4.75	3.75	3.667	2.25	3.0	3.0	179356158
3.0	4.0	4.333	4.611	3.5	1.25	2.833	3.75	4.25	2.667	107611626
4.333	4.0	2.722	2.667	4.0	4.0	3.667	2.0	4.0	3.0	350569584
0.0	4.5	2.0	2.222	4.75	3.0	0.0	1.5	2.75	0.0	10347942
2.0	4.25	5.111	3.333	4.0	2.0	1.667	2.5	4.75	1.333	93634693
3.667	3.25	4.389	3.833	2.75	3.0	3.5	2.75	3.25	3.333	765197352378314752
4.0	4.5	2.944	3.333	4.75	4.25	3.833	1.25	4.75	3.667	1008869671142088704
1.667	3.5	2.222	2.833	5.0	3.75	1.333	1.0	4.25	1.0	2303299682
3.333	4.0	2.389	2.889	4.25	3.75	3.333	2.0	4.25	3.333	191193280
